Incident Number,Priority,Resolving_Group,assignment_group_id,Resolving_group_id,open_date,Resolution Code,Configuration Item,Application Name,Application_Service_Owner,description,App Inst Comments,Open_month_year
IN31123584,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1477981746,Password Reset,HUBDOH,HUB Sales Solutions,Sumit KALE,,"Naveen1 SHARMA, 05-May-2016 at 04:08: ConfirmedFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31124560,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1477985132,Assisted User,HUBUAE,HUB Sales Solutions,Sumit KALE,"HTSM- User wants to amend hub workstation ID

Took RA, and amended teh workstation ID

user can access fine. Hence, resovling


SHAIKHA AWADH SAEED JUMA ALKAABI 
Email:shaikha.a.alkaabi@hsbc.com",FDA Ownership updated after central team analysis of primary functions,Nov-2016
IN31124858,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1477986067,Assisted User,HUBUAE,HUB Sales Solutions,Sumit KALE,,FDA Ownership updated after central team analysis of primary functions,Nov-2016
IN31124911,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1477986228,Password Reset,HUBHKE,HUB Sales Solutions,Sumit KALE,,FDA Ownership updated after central team analysis of primary functions,Nov-2016
IN31126114,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1477990044,Application/System Job resubmitted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHOCMI37 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=472je (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31126817,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1477992114,UnClassified.Advice Given to User,SAMS,Sales and Marketing System,Rob KELLAWAY,,"43200955, 27-Nov-2015 at 13:43: Vendor packages reviewed - associated business software package software (BSP) createdFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31128377,Priority-4,HOST-RBWM-STAFF-APP-SUPPORT,076C7874896111E5AF1B862C495A4502,076C7874896111E5AF1B862C495A4502,1477996760,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31128465,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1477997064,Application/System Job resubmitted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHCNTL3 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=46rvv (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31128468,Priority-3,HTSE-DWHDEV,2D4CB4CA22A311DEA16510000000C959,2D4CB4CA22A311DEA16510000000C959,1477997068,Software.Software Fix Released,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHDNNTB01 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4792p (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31128609,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1477997540,Application Patch Applied,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHILF06 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=46xlc (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31128821,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1477998210,Application/System Job resubmitted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHPIRTL reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=471vk (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31129582,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478000601,Batch Completed,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,,"43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31130185,Priority-3,HTSE-DWHDEV,2D4CB4CA22A311DEA16510000000C959,2D4CB4CA22A311DEA16510000000C959,1478002654,UnClassified.No Fault Found,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHDNNTB01 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=4792p (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31130194,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478002658,Unclassified Alert Investigated no Action,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHODBPR03 reported Status LDWHODBPR03 IS RUNNING LATE, PL CONTACT SUPPORT AS PER OJD https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=46x9e (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31130198,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478002665,Unclassified Alert Investigated no Action,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHODBPR06 reported Status LDWHODBPR06 IS RUNNING LATE, PL CONTACT SUPPORT AS PER OJD https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=46x9h (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31130199,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478002668,Unclassified Alert Investigated no Action,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHODBPR02 reported Status LDWHODBPR02 IS RUNNING LATE, PL CONTACT SUPPORT AS PER OJD https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=46x9d (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31130970,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1478005585,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31131084,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1478005966,Password Reset,HUBHKE,HUB Sales Solutions,Sumit KALE,,FDA Ownership updated after central team analysis of primary functions,Nov-2016
IN31131388,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1478007231,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31131469,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478007528,Application/System Job resubmitted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHIPPE01 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=46y62 (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31131476,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478007537,Application Patch Applied,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHRCH04 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=45sj4 (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31133555,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1478014797,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31134013,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1478016358,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31134065,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1478016506,Batch Completed,SAMS,Sales and Marketing System,Rob KELLAWAY,GCC : EQQE036I JOB L S A M S N 0 3 ENDED with error CODE JCL,"43200955, 27-Nov-2015 at 13:43: Vendor packages reviewed - associated business software package software (BSP) createdFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31134390,Priority-4,HTS-IT-Service-Desk,306B3B8E790511DDBF1E10000000C959,306B3B8E790511DDBF1E10000000C959,1478017636,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31134583,Priority-4,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478018370,UnClassified.Advice Given to User,BUSINESS-INTELLIGENCE-DELIVERY,DB2 Datamart,Kiran K SAMUDRALA,,-,Nov-2016
IN31134583,Priority-4,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478018370,UnClassified.Advice Given to User,BUSINESS-INTELLIGENCE-DELIVERY,GIS European Cognos Point of Presence,Manas SHIT,,"43200955, 27-Nov-2015 at 11:54: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31135081,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478020588,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHOCMI01 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=472iq (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31135089,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478020594,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHOP2G03 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=46ryi (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31135090,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478020597,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHODIG01 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=472lf (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31135091,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478020617,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHISP10 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=471sh (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31135097,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1478020691,Processing.Data fixed,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31135716,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1478023870,Processing.Batch Restarted,RDU,Report Distribution Utility,Sathyanarayanan SAMPATH,GCC : EQQE036I JOB L R D U C 1 0 2 ENDED with error CODE JCL,"Investigate whether this functionality could be demised somehow - it would appear to have a high degree of overlap with other businesses, so maybe there are other solutions in this space.",Nov-2016
IN31135717,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1478023874,Processing.Batch Restarted,RDU,Report Distribution Utility,Sathyanarayanan SAMPATH,GCC : EQQE036I JOB L R D U C 1 1 8 ENDED with error CODE JCL,"Investigate whether this functionality could be demised somehow - it would appear to have a high degree of overlap with other businesses, so maybe there are other solutions in this space.",Nov-2016
IN31135718,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1478023877,Processing.Batch Restarted,RDU,Report Distribution Utility,Sathyanarayanan SAMPATH,GCC : EQQE036I JOB L R D U C 1 2 7 ENDED with error CODE JCL,"Investigate whether this functionality could be demised somehow - it would appear to have a high degree of overlap with other businesses, so maybe there are other solutions in this space.",Nov-2016
IN31135719,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1478023881,Processing.Batch Restarted,RDU,Report Distribution Utility,Sathyanarayanan SAMPATH,GCC : EQQE036I JOB L R D U C 1 2 5 ENDED with error CODE JCL,"Investigate whether this functionality could be demised somehow - it would appear to have a high degree of overlap with other businesses, so maybe there are other solutions in this space.",Nov-2016
IN31136085,Priority-4,HBAR-SWD-RBWM-CRM,6A16A29384BE11E59D9210000000C957,6A16A29384BE11E59D9210000000C957,1478026021,Processing.Batch Amended,DWH APRIMO-AR,Campaign Management Tool,Patricia V BARROSO,No se encuentra disponible el servicio de Control M,"Javier MAZZURCO, 01-Sep-2016 at 16:25: Data Completenes reviewed12070768, 16-Dec-2015 at 13:29: Vendor packages reviewed - associated business software package software (BSP) created",Nov-2016
IN31136100,Priority-3,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478025935,Processing.Batch Restarted,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHTMS01 reported Status Ended not OK https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=474lh (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31136292,Priority-5,HBMX-RISK-RTB-Infosys,A6B6721EB97511E59BCE862C495A4502,A6B6721EB97511E59BCE862C495A4502,1478027176,Processing.File Resent,RTB HBMX HBMX SAS,SAS MX,Ruben SOTELO,,"Araceli PEREZV, 09-Dec-2016 at 07:18: complete35159718, 25-Jan-2016 at 18:22: Vendor packages reviewed - associated business software package software (BSP) created",Nov-2016
IN31136629,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1478030097,UnClassified.Advice Given to User,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
IN31136666,Priority-2,HTSE-DWHSupp,F3D7D70B790411DDA79910000000C959,F3D7D70B790411DDA79910000000C959,1478030356,Batch Completed,BUSINESS-INTELLIGENCE-DA-AND-A,GIS Teradata Point of Presence,Arun MEHTA,"GCC : Control M job LDWHIRDS01 reported Status LDWHIRDS01 IS RUNNING LATE, PL CONTACT SUPPORT AS PER OJD https://servicetracker.systems.uk.hsbc/controlm/sysout.htm gtwyname=HTSE_P3A_1500_v7orderid=46vb9 (For URL, insert ampersand prior to orderid=)","43200955, 11-Nov-2015 at 16:13: Vendor packages reviewed - associated business software package software (BSP) createdUK system being evolved over a period of time to bring into alignment with group standards",Nov-2016
IN31137289,Priority-3,HOST-CORE-BANKING-SUPPORT,A03CCF3A8A0611E5ADA110000000C957,A03CCF3A8A0611E5ADA110000000C957,1478035263,Processing.Batch Restarted,SAMS,Sales and Marketing System,Rob KELLAWAY,GCC : EQQE036I JOB L S A M C D 5 7 ENDED with error CODE U3E7,"43200955, 27-Nov-2015 at 13:43: Vendor packages reviewed - associated business software package software (BSP) createdFDA Ownership updated after central team analysis of primary functions",Nov-2016
IN31137328,Priority-4,HOST-DS-CRDCOE-APPSUPPORT,B78AB7BF977211E58D8310000000C957,B78AB7BF977211E58D8310000000C957,1478035593,Processing.Data fixed,CDU,Customer Data Management,Kiran Mahesh MANGIPUDI,,"Judith SMYTHE, 20-Jun-2016 at 14:20: link removed - I am not the delegate43200955, 11-Nov-2015 at 13:39: Vendor packages reviewed - no associated software created, pending update to Billable Product in GPDMInterface added by central team to support the FCC Monitor reporting - as advised by Chris Elliot and Dave Bagge",Nov-2016
